TRANSACTION_DT,Count(Distinct(CUSTOMER_NBR)),SALES
2016-12-20,41296,3737930.89
2016-12-21,36729,3347437.7
2016-12-22,42994,3945425.56
2016-12-23,60101,6150092.99
2016-12-24,33954,3476561.01
2016-12-26,50345,4842120.47
2016-12-27,44914,4141082.12
2016-12-28,44676,4113354.43
2016-12-29,44043,4021718.18
2016-12-30,57615,5209310.88
2016-12-31,52393,4777379.26
2017-01-01,16094,1518362.66
2017-01-02,34650,3228327.21
2017-01-03,39019,3222121.09
2017-01-04,33732,2918087.05
2017-01-05,23833,2162828.46
2017-01-06,30185,2726395.88
2017-01-07,32975,3189167.14
2017-01-08,21861,2007372.69
2017-01-09,31362,2662151.91
2017-01-10,23667,2083605.84
2017-01-11,22156,1930423.07
2017-01-12,26521,2243470.19
2017-01-13,31772,2733024.62
2017-01-14,38577,3570516.32
2017-01-15,23922,2177239.33
2017-01-16,42239,3689552.84
2017-01-17,28198,2297417.46
2017-01-18,31138,2731956.88
2017-01-19,21419,1712525.51
2017-01-20,31373,2632764.42
2017-01-21,34275,2996935.26
2017-01-22,23888,2016275.58
2017-01-23,20183,1696762.41
2017-01-24,16995,1427173.71
2017-01-25,18377,1548884.15
2017-01-26,19353,1604348.31
2017-01-27,24831,2025744.27
2017-01-28,46745,3850296.56
2017-01-29,25551,2035013.24
2017-01-30,34350,2527383.72
2017-01-31,24026,1929507.86
2017-02-01,23233,2076091.18
2017-02-02,25176,2269812.08
2017-02-03,29374,2519106.52
2017-02-04,36828,3390907.23
2017-02-05,22543,1948945.2
2017-02-06,30736,2659683.17
2017-02-07,31556,2926982.03
2017-02-08,26429,2262072.5
2017-02-09,18120,1640614.51
2017-02-10,28837,2627600.11
2017-02-11,40717,3870940.59
2017-02-12,24801,2312820.5
2017-02-13,29474,2644632.53
2017-02-14,19786,1782969.88
2017-02-15,19415,1818281.37
2017-02-16,21764,1910382.12
2017-02-17,34102,2970510.0
2017-02-18,42811,3933209.76
2017-02-19,24606,2285188.49
2017-02-20,35623,3116314.31
2017-02-21,28460,2563256.75
2017-02-22,28368,2736060.45
2017-02-23,27975,2843019.39
2017-02-24,36268,3532537.39
2017-02-25,50605,4978022.91
2017-02-26,35227,3171538.79
2017-02-27,35502,3254952.02
2017-02-28,24738,2292624.55
2017-03-01,24199,2363360.1
2017-03-02,27163,2665035.1
2017-03-03,36028,3426358.08
2017-03-04,55844,5281926.5
2017-03-05,28417,2772725.9
2017-03-06,31356,2624840.67
2017-03-07,27283,2517008.81
2017-03-08,29464,2794113.31
2017-03-09,28748,2871476.01
2017-03-10,33774,3341880.81
2017-03-11,43293,4433737.13
2017-03-12,25118,2496031.02
2017-03-13,26757,2500081.83
2017-03-14,21557,2028450.49
2017-03-15,22662,2172554.1
2017-03-16,28498,2511563.06
2017-03-17,38102,3409004.54
2017-03-18,41787,4000769.51
2017-03-19,24045,2298404.96
2017-03-20,30681,2981570.77
2017-03-21,37266,3464307.25
2017-03-22,34045,3356762.72
2017-03-23,33511,3294895.02
2017-03-24,39766,3815667.59
2017-03-25,48748,4906655.57
2017-03-26,33423,3191423.16
2017-03-27,33241,2956171.95
2017-03-28,27551,2488662.63
2017-03-29,29843,2850144.03
2017-03-30,37491,3673534.85
2017-03-31,45103,4173983.45
2017-04-01,56851,5475870.48
2017-04-02,41193,3929588.28
2017-04-03,32993,2720582.15
2017-04-04,35965,3363312.21
2017-04-05,23680,2267748.44
2017-04-06,27151,2469719.8
2017-04-07,34526,3013806.04
2017-04-08,46678,4244176.48
2017-04-09,29088,2590243.39
2017-04-10,31929,2809195.36
2017-04-11,26714,2632082.0
2017-04-12,27014,2722102.56
2017-04-13,30935,3065103.33
2017-04-14,41861,4218276.09
2017-04-15,49402,5055367.25
2017-04-16,4615,381860.98
2017-04-17,31888,3169562.72
2017-04-18,29847,2875907.07
2017-04-19,23766,2304431.23
2017-04-20,24718,2406844.89
2017-04-21,32409,3096542.1
2017-04-22,43582,4511800.01
2017-04-23,25187,2513669.63
2017-04-24,28024,2480142.96
2017-04-25,21316,2071300.53
2017-04-26,24009,2313533.09
2017-04-27,24618,2430967.7
2017-04-28,35828,3754661.61
2017-04-29,42379,4227967.01
2017-04-30,28112,2763288.89
2017-05-01,31019,2916160.71
2017-05-02,40002,3918118.38
2017-05-03,27868,2794848.62
2017-05-04,29406,2885508.36
2017-05-05,38033,3561027.52
2017-05-06,45460,4367188.12
2017-05-07,30452,2864501.94
2017-05-08,34294,3085794.63
2017-05-09,26577,2524714.86
2017-05-10,27418,2684243.77
2017-05-11,30843,3054098.93
2017-05-12,37709,3689871.72
2017-05-13,54626,5504924.21
2017-05-14,25336,2488479.26
2017-05-15,36409,3091287.36
2017-05-16,34416,3278366.3
2017-05-17,28192,2692087.47
2017-05-18,34930,3382256.82
2017-05-19,35001,3529143.39
2017-05-20,40575,4264643.28
2017-05-21,25581,2551633.12
2017-05-22,30256,2850124.43
2017-05-23,26864,2609538.53
2017-05-24,26890,2628463.0
2017-05-25,33411,3093043.12
2017-05-26,47010,4464395.42
2017-05-27,46913,4666718.24
2017-05-28,33378,3132916.48
2017-05-29,31730,3232050.29
2017-05-30,32050,2846630.99
2017-05-31,49097,4625485.86
2017-06-01,30683,2786096.05
2017-06-02,38826,3496737.29
2017-06-03,41273,4009808.38
2017-06-04,26526,2418035.24
2017-06-05,45118,4013895.62
2017-06-06,37062,3296408.45
2017-06-07,35089,3108382.12
2017-06-08,36989,3256931.16
2017-06-09,43393,3955238.66
2017-06-10,45598,4494041.92
2017-06-11,28423,2718577.66
2017-06-12,39128,3282193.26
2017-06-13,36769,3341759.89
2017-06-14,32855,2946976.37
2017-06-15,41585,3717603.09
2017-06-16,44605,4089468.47
2017-06-17,48008,4654403.46
2017-06-18,31707,2930197.67
2017-06-19,35128,3388685.17
2017-06-20,45805,4519309.61
2017-06-21,40952,4029197.34
2017-06-22,36548,3677575.43
2017-06-23,40086,4077384.77
2017-06-24,42171,4512537.77
2017-06-25,26044,2903938.68
2017-06-26,32269,3025607.94
2017-06-27,40159,3921783.14
2017-06-28,32821,3179159.2
2017-06-29,31818,3113009.77
2017-06-30,42975,4060016.14
2017-07-01,44308,4357519.57
2017-07-02,27811,2595593.61
2017-07-03,42632,3806593.16
2017-07-04,30460,2835453.68
2017-07-05,34991,3111474.25
2017-07-06,33099,2979522.92
2017-07-07,37490,3309691.61
2017-07-08,41231,3789888.25
2017-07-09,27390,2395248.78
2017-07-10,34470,2879052.77
2017-07-11,35543,3067654.17
2017-07-12,29172,2526704.87
2017-07-13,30507,2708395.43
2017-07-14,37913,3303660.83
2017-07-15,42270,3865801.73
2017-07-16,27059,2420349.52
2017-07-17,32451,2678703.0
2017-07-18,32757,2912812.5
2017-07-19,29418,2589580.92
2017-07-20,29130,2450040.99
2017-07-21,33884,2766129.58
2017-07-22,36357,3173529.35
2017-07-23,21098,1796571.36
2017-07-24,28134,2216664.11
2017-07-25,28990,2494139.71
2017-07-26,24599,2124782.44
2017-07-27,27105,2268932.23
2017-07-28,41010,3580250.66
2017-07-29,49418,4521832.19
2017-07-30,30531,2688198.12
2017-07-31,34555,2809662.76
2017-08-01,38536,3348399.83
2017-08-02,29228,2651073.16
2017-08-03,33073,3035017.34
2017-08-04,41286,3701279.73
2017-08-05,47214,4360080.08
2017-08-06,35221,3073546.68
2017-08-07,25272,2068093.08
2017-08-08,38875,3399041.34
2017-08-09,25669,2285749.48
2017-08-10,25060,2237122.33
2017-08-11,30185,2716384.37
2017-08-12,35917,3364564.01
2017-08-13,25779,2282778.61
2017-08-14,25601,2132275.24
2017-08-15,28571,2493902.78
2017-08-16,23609,2087251.71
2017-08-17,23669,2050660.2
2017-08-18,29115,2565631.75
2017-08-19,34949,3260058.51
2017-08-20,22839,2049582.13
2017-08-21,22671,1913401.61
2017-08-22,25775,2292004.67
2017-08-23,22545,1993674.84
2017-08-24,27310,2382004.73
2017-08-25,30773,2694240.92
2017-08-26,33854,3121841.45
2017-08-27,19012,1747625.03
2017-08-28,25895,2222925.83
2017-08-29,27928,2471933.37
2017-08-30,22980,2080950.65
2017-08-31,27904,2555934.36
2017-09-01,36165,3333683.68
2017-09-02,42675,4212013.66
2017-09-03,32992,3123274.6
2017-09-04,29535,2965709.4
2017-09-05,28560,2285019.68
2017-09-06,37101,3438583.39
2017-09-07,23811,2149336.65
2017-09-08,33178,3265136.33
2017-09-09,33214,3180990.66
2017-09-10,21652,1954717.96
2017-09-11,21796,1878641.15
2017-09-12,22204,1980689.78
2017-09-13,22240,1981994.84
2017-09-14,26575,2354807.75
2017-09-15,30777,2620181.86
2017-09-16,36418,3315345.41
2017-09-17,19138,1793165.3
2017-09-18,15293,1367840.2
2017-09-19,19815,1700942.54
2017-09-20,25130,2177197.22
2017-09-21,28335,2588492.92
2017-09-22,29057,2704188.51
2017-09-23,40204,3800325.69
2017-09-24,21376,1977468.1
2017-09-25,20781,1921215.32
2017-09-26,22958,2199156.36
2017-09-27,23134,2267375.75
2017-09-28,20104,1928663.76
2017-09-29,44459,4371434.59
2017-09-30,47489,4642227.73
2017-10-01,26470,2604110.73
2017-10-02,27475,2408623.82
2017-10-03,33276,2974174.2
2017-10-04,30418,2830274.49
2017-10-05,33544,3005667.35
2017-10-06,42652,3946865.14
2017-10-07,43237,4286586.51
2017-10-08,26683,2610901.71
2017-10-09,38650,3551451.63
2017-10-10,36393,3227497.01
2017-10-11,29489,2601313.89
2017-10-12,32886,2915714.24
2017-10-13,29290,2758074.58
2017-10-14,32686,3157999.47
2017-10-15,16714,1676121.43
2017-10-16,35452,2994951.56
2017-10-17,25435,2349641.83
2017-10-18,24511,2217018.1
2017-10-19,23030,2240157.43
2017-10-20,31648,3106194.19
2017-10-21,33985,3429489.13
2017-10-22,20408,2212619.06
2017-10-23,24915,2228056.54
2017-10-24,23993,2314362.52
2017-10-25,22809,2151657.53
2017-10-26,26621,2484296.27
2017-10-27,30433,2864563.78
2017-10-28,34932,3445936.39
2017-10-29,16488,1677574.7
2017-10-30,27262,2322643.12
2017-10-31,30827,2808235.68
2017-11-01,29489,2661963.8
2017-11-02,28316,2674106.23
2017-11-03,31838,2947388.7
